Aamir Kaleem
DLS van Bunge
DL Vettori
DM Bravo
DM de Silva
D Mongia
DM Richards
D Murphy
DO Christian
DO Obuya
DP Hyatt
DPMD Jayawardene
DP Nannes
D Ramdin
DR Brown
DR Flynn
DR Martyn
DR Smith
DR Tuffey
DSNFG Jayasuriya
DS Smith
DT Christian
DT Johnston
D Wiese
DW Steyn
E Chigumbura
EC Joyce
EC Rainsford
EHSN Silva
EJG Morgan
Elias Sunny
EMDY Munaweera
E Otieno
EP Thompson
E Schiferli
ES Szwarczynski
Fahad Babar
Faizan Asif
Farhad Reza
Fawad Ahmed
Fawad Alam
Fayyaz Ahmed
F Behardien
F du Plessis
FH Edwards
FL Reifer
F Mutizwa
GA Lamb
GA Rogers
GB Hogg
GC Smith
GC Wilson
GD Drummond
GD Elliott
GD McGrath
G Dockrell
GEF Barnett
GE Mathurin
G Gambhir
G Goudie
GH Bodi
GH Dockrell
GH O'Brien
GH Worker
GJ Bailey
GJ Batty
GJ Hopkins
GJ Maxwell
GJP Kruger
G Malla
GM Hamilton
GO Jones
GP Swann
G Snyman
Gulbadin Naib
Gulbodin Naib
G Wijekoon
Hamid Hassan
Hammad Azam
Hamza Hotak
Hamza Tariq
Harbhajan Singh
Haris Sohail
Haseeb Amjad
Hashmatullah Shaidi
HA Varaiya
H Davids
HDRL Thirimanne
HD Rutherford
HG Kuhn
HG Munsey
HH Dippenaar
HH Gibbs
HJH Marshall
HM Amla
H Masakadza
HMCM Bandara
HMRKB Herath
H Osinde
H Patel
HS Baidwan
H Shahid
IA Karim
IG Butler
IH Romaine
IJL Trott
IK Pathan
Imad Wasim
Imran Farhat
Imran Nazir
Imran Tahir
Imrul Kayes
Inzamam-ul-Haq
IR Bell
Irfan Ahmed
IS Billcliff
I Sharma
I Udana
I Wardlaw
Izatullah Dawlatzai
JAH Marshall
Jahurul Islam
JA Morkel
J Anderson
JAR Blain
JA Rudolph
Jasdeep Singh
Jatinder Singh
Javed Ahmadi
J Botha
JB Reva
JC Buttler
J Charles
JC Tredwell
J Davidson
JD Nel
JDP Oram
JD Ryder
JDS Neesham
JEC Franklin
J Edness
JE Root
JE Taylor
JF Mooney
JH Davey
JH Kallis
JH Patel
JH Stander
JJ Atkinson
JJ Celestine
JJ Roy
JJ Smit
JJ van der Wath
JK Kamande
JL Denly
J Lewis
JL Ontong
J Louw
JL Pattinson
JM Anderson
JM Bairstow
JM Davison
JM How
JM Kemp
JM Muirhead
J Mubarak
JN Gillespie
JNK Shannon
JN Snape
JNT Vare
JOA Gordon
JO Ngoche
JP Bray
JP Duminy
JP Faulkner
JP Kotze
JR Hopes
JS Foster
JS Jesani
J Smits
JS Patel
J Theron
Junaid Khan
Junaid Siddique
Junaid Siddiqui
JW Dernbach
JW Hastings
JWM Dalrymple
JW Wilson
KAJ Roach
Kamran Akmal
Kamran Shazad
KA Pollard
Karan KC
Karim Sadiq
KC Sangakkara
KD Karthik
KDK Vithanage
KD Mills
KD Shah
K Ganesh
Khalid Latif
Khawar Ali
Khurram Chohan
Khurram Khan
KJ Abbott
KJ Coetzer
KJ O'Brien
KM Dabengwa
KMDN Kulasekara
KM Jadhav
KM Jarvis
KOA Powell
KO Meth
KO Otieno
K Pala
KP Pietersen
K Rabada
KS Lokuarachchi
KS Williamson
K Weeraratne
LA Pomersbach
LD Chandimal
LE Bosman
Litton Das
LJ Wright
L Klazinga
LL Tsotsobe
LMP Simmons
LN Oluoch
LN Onyango
L Nou
LPC Silva
L Ronchi
LRPL Taylor
L Siaka
L Vincent
LV van Beek
MAA Jamil
MA Carberry
Mahmudullah
MA Leask
MA Ouma
Mashrafe Mortaza
MA Starc
MBS Jonkman
MC Bascombe
MC Henriques
MC Sorensen
MD Dai
MDKJ Perera
MDK Perera
MD Shanaka
Mehrab Hossain jnr
Mehran Khan
MEK Hussey
ME Trescothick
MF Maharoof
MG Johnson
MH Cross
MH Yardy
Mirwais Ashraf
Misbah-ul-Haq
Mithun Ali
MJ Clarke
MJG Rippon
MJ Guptill
MJ Lumb
MJ Mason
MJ McClenaghan
MJ North
MJ Prior
MJ Santner
MK Pandey
MK Patel
MK Tiwary
ML Hayden
ML Udawatte
MM Ali
MM Iqbal
M Morkel
MM Patel
MM Sharma
M Muralitharan
MN Samuels
M Ntini
MN van Wyk
MN Waller
Mohammad Amir
Mohammad Ashraful
Mohammad Asif
Mohammad Hafeez
Mohammad Irfan
Mohammad Nabi
Mohammad Nadeem
Mohammad Naveed
Mohammad Rizwan
Mohammad Salman
Mohammad Sami
Mohammad Shahzad
Mohammad Shahzad (2)
Mohammad Tauqir
Mohammad Yousuf
Mominul Haque
MP O'Dowd
MP Stoinis
MP Vaughan
MR Gillespie
MRJ Watt
MR Marsh
MR Swart
MS Atapattu
MS Aulakh
MS Chapman
MS Dhoni
MS Kasprowicz
MS Panesar
MS Sinclair
MS Wade
Mudassar Bukhari
Muhammad Ghous
Mukhtar Ahmed
Munir Dar
Mushfiqur Rahim
Mustafizur Rahman
MV Boucher
M Vijay
MW Machan
M Zondeki
Nadeem Ahmed
Nadif Chowdhury
Naeem Islam
Najeeb Amar
Najeeb Tarakai
Najibullah Zadran
Nasir Hossain
Nasir Jamshed
Nauman Anwar
Naved-ul-Hasan
Nawroz Mangal
Nazimuddin
Nazmul Hossain
NB Budayair
N Deonarine
ND McKenzie
NE Bonner
NFI McCallum
NG Jones
Nizakat Khan
NJ Astle
NJ Maddinson
NJ O'Brien
NJ Reardon
NK Patel
NL McCullum
NLTC Perera
N Madziva
NM Carter
NM Coulter-Nile
NM Hauritz
NM Odhiambo
N Mushangwe
NN Odhiambo
NO Miller
Noor Ali
Noor Ali Zadran
Nowroz Mangal
NR Kumar
NRP Scholtz
NS Dhaliwal
NS Poonia
NT Broom
N Vanua
NV Ojha
NW Bracken
OA Shah
OL Pitcher
PA Desai
PA Hitchcock
PA Nixon
PA Patel
PA van Meekeren
PC Connell
P Connell
PD Collingwood
PD McGlashan
PG Fulton
PJ Cummins
PJ Hughes
PJ Ingram
PJ Ongondo
P Khadka
P Kumar
PL Mommsen
PM Seelaar
PM Siddle
P Mustard
PP Chawla
PP Ojha
PR Stirling
PS Airee
P Utseya
PW Borren
Q de Kock
RA Bhatti
Raees Ahmadzai
RA Jadeja
Rameez Raja (2)
Raqibul Hasan
R Ashwin
Raza Hasan
Raza-ur-Rehman
RD Berrington
RD McCann
R Dravid
RE Levi
RE van der Merwe
R Flannigan
RG Aga
RG Sharma
R Gunasekera
RI Ahmed
Rizwan Cheema
RJ Harris
RJ Kirtley
RJMGM Rupasinghe
RJ Nicol
RJ Peterson
RJ Ranpura
RJ Sidebottom
RJ Trott
RK Kleinveldt
RL Bhudia
R McLaren
RM Haq
RM Hira
RML Taylor
RMS Eranga
R Mutumbami
RM West
RN Lewis
RN ten Doeschate
Rohan Mustafa
Rony Talukdar
RP Arnold
RP Magar
RP Singh
R Rampaul
RR Hendricks
RR Patel
RR Rossouw
RR Sarwan
RR Watson
RS Bopara
RS Morton
R Telemachus
RT Lyons
RT Ponting
Rubel Hossain
R van Schoor
R Vinay Kumar
RV Uthappa
RW Chakabva
RW Price
RWT Key
SA Abbott
Saad Bin Zafar
Saad Nasim
Sabbir Rahman
Saeed Ajmal
Sagar Pun
Salman Butt
Samiullah Shenwari
Sandeep Sharma
Sarfraz Ahmed
S Badree
S Badrinath
SB Styris
S Chanderpaul
SCJ Broad
SC Williams
S Dhaniram
S Dhawan
SD Outerbridge
SD Parry
SE Bond
SE Findlay
SE Marsh
SF Burger
SG Borthwick
Shabir Noori
Shafiqullah
Shafiul Islam
Shahadat Hossain
Shahid Afridi
Shahzaib Hasan
Shaiman Anwar
Shakeel Ansar
Shakib Al Hasan
Shamsur Rahman
Shapoor Zadran
Sharjeel Khan
Shoaib Akhtar
Shoaib Khan jnr
Shoaib Malik
SHT Kandamby
Sikandar Raza
SI Mahmood
SJ Baard
SJ Benn
SJ Myburgh
SJS Smith
SK Raina
SL Malinga
S Matsikenyeri
SM Davies
SM Katich
SM Pollock
SM Sharif
SMSM Senanayake
SNJ O'Keefe
Sohag Gazi
Sohaib Maqsood
Sohail Tanvir
Sompal Kami
SO Ngoche
SO Tikolo
Soumya Sarkar
SPD Smith
SP Fleming
SP Gauchan
SP Khakurel
SP Narine
SP Patil
S Prasanna
S Randiv
SR Patel
SR Tendulkar
SR Thompson
SR Watson
SS Cottrell
S Sreesanth
ST Finn
ST Jayasuriya
STR Binny
Suhrawadi Shuvo
Sultan Ahmed
S Vashishat
S Vesawkar
SV Samson
SW Billings
SW Masakadza
SW Poynter
SW Tait
Syed Rasel
TA Boult
Tamim Iqbal
TAM Siriwardana
Tanwir Afzal
TC Mutombodzi
TD Paine
TE Kane
TG Gordon
TGJ Gruijters
TG Southee
T Henderson
TJ Murtagh
TK Patel
TL Best
TLW Cooper
T Maruma
TM Dilshan
TM Dowlin
T Mishra
TM Odoyo
TN de Grooth
T Panyangara
TP Ura
TP Visee
TR Birt
T Taibu
TT Bresnan
T Thushara
T van der Gugten
TWM Latham
U Bhatti
Umair Ali
Umar Akmal
Umar Amin
Umar Gul
Usman Khan
Usman Limbada
UWMBCA Welegedara
VB van Jaarsveld
VD Philander
V Kohli
V Sehwag
V Shetty
V Sibanda
VS Solanki
VS Wategaonkar
VV Morea
Wahab Riaz
Waqas Barkat
W Barresi
WB Rankin
WD Parnell
WKD Perkins
WK McCallan
WPUJC Vaas
WTS Porterfield
WU Tharanga
WW Hinds
XJ Doherty
XM Marshall
Yasir Arafat
Yasir Shah
YK Pathan
Younis Khan
Yuvraj Singh
Zahid Hussain
Zeeshan Maqsood
Zeeshan Siddiqui
Ziaur Rahman
Z Khan
Zulfiqar Babar
Zulqarnain Haider
